dataset,k,mepsi_mean_acc,mepsi_std_acc,random_mean_acc,random_std_acc
digits,2,75.0,0.818,76.759,1.955
digits,5,87.685,0.729,90.648,1.929
digits,10,93.796,0.797,94.074,0.729
digits,15,95.278,0.818,95.093,0.472
digits,20,95.926,0.571,95.463,0.693
digits,25,96.204,0.729,95.741,0.917
digits,30,96.296,0.571,95.833,0.6
digits,40,96.852,0.524,96.481,0.262
digits,50,96.944,0.227,96.574,0.346
breast-w,2,91.19,1.468,91.905,1.684
breast-w,5,95.476,0.337,94.524,0.673
breast-w,10,95.238,1.468,94.286,0.583
breast-w,15,95.476,0.673,95.476,0.337
breast-w,20,94.762,0.891,95.238,0.337
breast-w,25,95.238,1.214,95.0,0.583
breast-w,30,95.714,0.583,94.762,0.891
breast-w,40,95.952,0.673,95.238,0.673
breast-w,50,95.476,0.891,94.762,0.891
